,close,high,low,open,volume,adj_close,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2015-01-02,0.4830990433692932,0.48669891236504514,0.4754193609903401,0.4830990433692932,113680000,0.4830990433692932,41118052.4823345,113680000,0.36169996905642593,0.0,0.0,0.0,0.0,0.48173910557489275,50.0,1000.0,0.4830990433692932,0.4830990433692932,0.4830990433692932,0.0,0.0,0.0,0.0,0.4817391055748928,0.49301865694959784,0.47045955420018776,4.682846480251741,0.5602833281760718,0.0,0.0,0.4754193609903401,0.48669891236504514,0.4810591366776926,2.3348320659129658,0.680849984528213,0.0,0.0,0.0,0.0,0.0,0.4830990433692932,0.4830990433692932,0.4830990433692932,0.4830990433692932,0.0,0.0,0.0,-84.15871863130614,1.0,2.65113806099126,-845.8639128810088,-845.8639128810088,0.0,0.4810591366776926,0.4810591366776926,0.4810591366776926,0.4810591366776926,0.0,0.0,0.0,0.0,0.0,3.088213387659165,3.0239313520213402,0.0,0.0,0.0,0.4579001478719731,0.48669891236504514,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,68.0849984528213,68.0849984528213,-31.915001547178704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4830990433692932,0.0,0.0,0.0
2015-01-05,0.4749394357204437,0.4845390396587968,0.4727795427149338,0.4830990919157961,197952000,0.4749394357204437,-84117377.70728165,-84272000,-0.26992535332469597,-1615210.6533050537,-1.4256474152889337e-05,-1.4256474152889337e-05,-3343435.8346893876,0.4789951435914149,0.0,1000.0,0.47901923954486847,0.48717884719371796,0.470859631896019,3.4067974624994988,0.25,0.0,0.0,0.4795792224698088,0.4910987466290928,0.46805969831052474,4.804013026235402,0.2986120483272886,0.0,0.0,0.4727795427149338,0.48669891236504514,0.47973922753998943,2.9058059679057164,0.15517175416723475,0.0,0.0,-0.0006509088722729262,-0.00013018177445458523,-0.0005207270978183409,0.47901923954486847,0.47901923954486847,0.48184371911562407,0.482494627987897,0.003414871710426233,0.00521212022629024,-0.0017972485158640069,-0.0032988543256080743,2.0067964417762685,2.655217864815685,-847.1656024751841,-846.5147576780964,-0.6508447970876432,0.47973922753998943,0.47973922753998943,0.47973922753998943,0.47973922753998943,0.0,0.0,0.0,0.0,-66.66666666666667,3.088213387659165,3.0239313520213402,0.0,4.0,-4.0,0.4579001478719731,0.48669891236504514,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,9.374922851171798,15.517175416723475,41.801086934772385,-84.48282458327652,0.0,0.0,-0.13490489520833665,-0.02698097904166733,-0.10792391616666933,5.605753693652539,1.1211507387305077,4.484602954922031,0.47964585568247237,-1.6890134147113378,-1.7034399207587314,-1.6890134147113378
2015-01-06,0.4605400562286377,0.4761393655800423,0.4600600832011617,0.47565939255256634,197764000,0.4605400562286377,-270074708.28397,-282036000,-0.5301861582815139,-1791277.5436639786,-8.585498691155557e-05,-5.005573053222245e-05,-9339313.775416367,0.47378688697451216,0.0,969.6816511562924,0.47285951177279156,0.4915122354648124,0.45420678808077075,7.889330013512945,0.1697679184133351,0.0,0.0,0.474912759980966,0.48795220354678226,0.46187331641514984,5.491300577537154,-0.05112412120128248,0.0,1.0,0.4600600832011617,0.48669891236504514,0.4733794977831034,5.633561026194047,0.0180177974235718,0.0,0.0,-0.0023021308955108455,-0.0005645715986658373,-0.0017375592968450083,0.47285951177279156,0.47285951177279156,0.4785662325176262,0.48086836341313705,0.004644993294884017,0.014292234896204032,-0.009647241601320015,-0.014481507020850236,3.077567919584066,2.661377592587762,-849.1309061733336,-847.3868071765088,-1.744098996824846,0.4733794977831034,0.4733794977831034,0.4733794977831034,0.4733794977831034,0.0,0.0,0.0,0.0,-99.99999999999942,3.088213387659165,3.0239313520213402,0.0,8.0,-8.0,0.4579001478719731,0.48669891236504514,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,6.74841176992789,1.8017797423571802,28.46798453730065,-98.19822025764282,0.0,0.0,-0.47874451111124033,-0.11733368545558194,-0.3614108256556584,9.466188532007749,2.7901582973859558,6.676030234621793,0.4711430659623865,-3.0318348843707543,-3.078745603660493,-4.669640201173165
2015-01-07,0.45934009552001953,0.4679797241903197,0.4579001478719731,0.4638998820571845,321808000,0.45934009552001953,-499937043.4886977,-603844000,-0.6014613061158245,-1590546.0311004096,-1.616133861049109e-05,-3.875759989164533e-05,-10177801.004695045,0.4691228236628371,0.0,969.6816511562924,0.46947965770959854,0.48943019749452527,0.4495291179246718,8.499000737223565,0.24588250997499886,0.0,0.0,0.47161956728425053,0.48391904403819935,0.45932009053030176,5.21584667267877,0.0008132455598709681,0.0,0.0,0.4579001478719731,0.48669891236504514,0.4722995301185091,6.134187929157482,0.050000327215177796,0.0,0.0,-0.0036653116153105847,-0.0011847196019947868,-0.002480592013315798,0.46947965770959854,0.46947965770959854,0.47560836528722517,0.47927367690253575,0.0075643821915693035,0.021002256704532752,-0.013437874512963448,-0.030926277609766836,4.1029101487413335,2.6647574466509547,-850.2092719608136,-848.092423372585,-2.1168485882285495,0.4722995301185091,0.4722995301185091,0.4722995301185091,0.4722995301185091,0.0,0.0,0.0,0.0,-82.74711956594692,3.088213387659165,3.0239313520213402,0.0,12.0,-12.0,0.4579001478719731,0.4861661357817675,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,8.2926570021008,5.000032721517779,7.439662626866145,-94.99996727848222,0.0,0.0,-0.7647638065580548,-0.24681970967607653,-0.5179440968819782,18.337679621015766,5.899662562111918,12.43801705890385,0.4657179367618275,-0.2605551227062963,-0.2608951583480845,-4.918028337123359
2015-01-08,0.47661927342414856,0.4794991684131246,0.46437980554795905,0.4646198063333691,283780000,0.47661927342414856,-324264323.8364105,-320064000,-0.2908241946399326,-662827.2972812462,4.794822624126263e-05,-1.708114335841834e-05,497263.4050044529,0.47023673140975286,28.617156658386705,1006.1585490454925,0.47090758085250856,0.4896437133830198,0.4521714483219973,7.957456321511012,0.6524245348483385,0.0,0.0,0.47199553698641594,0.4848589909626081,0.4591320830102238,5.450667630597686,0.6797237525119726,0.0,0.0,0.4579001478719731,0.48669891236504514,0.4722995301185091,6.1155873602493624,0.6499975218269735,0.0,0.0,-0.0033131648066726527,-0.00161040864293036,-0.0017027561637422927,0.47090758085250856,0.47090758085250856,0.4757638896159826,0.47907705442265525,0.015458146305452076,0.02217143417276303,-0.006713287867310954,-0.04315110743309762,5.167066019139867,2.6633295235080445,-849.7536832177275,-848.4246753416135,-1.3290078761140194,0.4722995301185091,0.4722995301185091,0.4722995301185091,0.4722995301185091,0.0,0.0,0.0,0.0,15.0346537593949,3.088213387659165,3.0239313520213402,0.0,12.0,-12.0,0.4579001478719731,0.48503549626537573,0.0,0.0,46.27245155872625,0.0,0.0,0.0,-95.41722394142013,30.79573478143977,64.99975218269735,23.93385488219077,-35.00024781730265,0.0,0.0,-0.6915724257897115,-0.3357702528988035,-0.35580217289090793,22.014555438307205,9.122641137350975,12.89191430095623,0.4706491209108562,3.761739519944851,3.69271187209802,-1.341292232738156
2015-01-09,0.4785393178462982,0.4821391875150662,0.4718196088129208,0.4782993456077094,209540000,0.4785393178462982,-260915696.98555276,-110524000,-0.19698827426724833,-510662.5250671769,2.4820922071896555e-05,-8.700730272355362e-06,1341388.1197413076,0.4713856827173624,41.15623094158168,1010.2118243065074,0.47217953701814014,0.4902043255489339,0.4541547484873464,7.634718202581185,0.676417626683746,0.0,0.0,0.47291284272058465,0.4853523174844357,0.46047336795673366,5.260789574793063,0.7261540471975562,0.0,0.0,0.4579001478719731,0.48669891236504514,0.4722995301185091,6.099113204892162,0.7166685910880021,0.0,0.0,-0.0028463435091731215,-0.0018575956161789122,-0.0009887478929942093,0.47217953701814014,0.47217953701814014,0.4761908785744927,0.47903722208366584,0.021911565643186443,0.02490343748810938,-0.0029918718449229373,-0.0511672180461247,6.188363106006103,2.662057567342413,-849.3478568161887,-848.5785389207094,-0.7693178954792756,0.4722995301185091,0.4722995301185091,0.4722995301185091,0.4722995301185091,0.0,0.0,0.0,0.0,49.568389284061816,3.088213387659165,3.0239313520213402,0.0,12.0,-12.0,0.4579001478719731,0.48395008232963965,0.0,0.0,49.09139640019519,0.0,0.0,0.0,-91.326708460463,35.240855162444525,71.66685910880021,47.22221467100511,-28.333140891199793,-0.0015559282211771164,0.0,-0.5941800298507901,-0.38745220828920085,-0.20672782156158925,21.12257835853147,11.522628581587075,9.599949776944396,0.4742078058940039,0.4028465757071942,0.4020373215298356,-0.9438490068607752
2015-01-12,0.472539484500885,0.4799791659212302,0.4682196704054906,0.4797391651235464,190732000,0.472539484500885,-311518083.2721119,-301256000,-0.20558775762782783,-601190.7662914876,-1.7756386921368393e-05,-1.02100063805242e-05,-1049972.7798972675,0.47166182072087404,35.52299584663125,997.5459839808194,0.4722309580871037,0.48892057086487234,0.45554134530933504,7.068411120429011,0.5092430668670842,0.0,0.0,0.4730080709427681,0.48535040581403177,0.4606657360715044,5.2186571982434735,0.48101710710450435,0.0,0.0,0.4579001478719731,0.48669891236504514,0.4722995301185091,6.0984490745225735,0.5083321068316531,0.0,0.0,-0.002926782548553497,-0.0020714330026538295,-0.0008553495458996675,0.4722309580871037,0.4722309580871037,0.4756291256400915,0.478555908188645,0.024796546457289615,0.029878535471377973,-0.0050819890140883575,-0.05834976973823336,7.2010363271214946,2.6620061462734497,-849.3314505689103,-848.6860977275953,-0.6453528413150025,0.4722995301185091,0.4722995301185091,0.4722995301185091,0.4722995301185091,0.0,0.0,0.0,0.0,7.13078977799362,3.088213387659165,3.0239313520213402,0.0,12.0,-12.0,0.4579001478719731,0.48290808495133297,0.0,0.0,41.72437418805828,0.0,0.0,0.0,-88.14589059718769,35.43297556236344,50.83321068316531,62.49994065822096,-49.16678931683469,-0.002585034624671523,0.0,-0.611586336825617,-0.43227903399648415,-0.17930730282913288,19.370898471550863,13.092282559579832,6.2786159119710305,0.4734518267556739,-1.2537806449041455,-1.2617067951437355,-2.1857958555997814
2015-01-13,0.47181957960128784,0.4857389698924266,0.4684597395971128,0.4761393943273643,236720000,0.47181957960128784,-456180588.55789214,-537976000,-0.2603806151213785,-539651.497940224,2.189785191851451e-05,-5.623169480661526e-06,-1410611.1887968765,0.47215872455792146,44.915364880263105,997.5459839808194,0.4721795357763767,0.4877936100989554,0.45656546145379806,6.6136175499030765,0.48847334245846485,0.0,0.0,0.47329949078703987,0.48625893758630984,0.46034004398776995,5.476214131445587,0.4429022238111498,0.0,0.0,0.4579001478719731,0.48669891236504514,0.4722995301185091,6.099113220931941,0.48333433653597424,0.0,0.0,-0.0030138792517560575,-0.002259922252474275,-0.0007539569992817824,0.4721795357763767,0.4721795357763767,0.47504304163412175,0.4780569208858778,0.030997294826915447,0.03387060235599625,-0.0028733075290808055,-0.06484773836387538,8.280548735952722,2.6620575685841765,-849.347857212382,-848.7688176631935,-0.579039549188451,0.4722995301185091,0.4722995301185091,0.4722995301185091,0.4722995301185091,0.0,0.0,0.0,0.0,28.216155855697473,3.088213387659165,3.0239313520213402,0.0,12.0,-12.0,0.4579001478719731,0.48290808495133297,1.0,0.0,40.9306746599879,0.0,0.0,0.0,-85.59887747532886,35.06756292974744,48.333433653597424,56.94450114852099,-51.666566346402576,-0.001247949475609078,0.0,-0.6304435978400015,-0.47191194676518766,-0.15853165107481382,19.650548434248606,14.403935734513588,5.246612699735017,0.4727262182866745,-0.15234809433068985,-0.15246426204110763,-2.3348139315985117
2015-01-14,0.47373950481414795,0.47517945260581124,0.46557987695203473,0.46677982390875683,155260000,0.47373950481414795,-347498958.72692984,-382716000,-0.18220029337057916,-419974.48558466916,-4.154719322238074e-05,-1.011367244837643e-05,-778828.1907267935,0.47210506895368703,41.0272030166952,1001.6051917128314,0.47235286566946244,0.4871065732717989,0.457599158067126,6.246900855116497,0.5469929044976435,0.0,0.0,0.47309950419485003,0.48568563197795406,0.46051337641174606,5.320710620707096,0.5254248419500813,0.0,0.0,0.4579001478719731,0.48669891236504514,0.4722995301185091,6.096875151218946,0.5500012664079822,0.0,0.0,-0.002894614779999971,-0.0023868607579794147,-0.0005077540220205564,0.47235286566946244,0.47235286566946244,0.4748424975079719,0.4777371122879719,0.0333192374648786,0.0410416086087625,-0.0077223711438838966,-0.06970797933514143,9.298237197106772,2.6618842386910906,-849.2925551126,-848.8270107131276,-0.46554439947237825,0.4722995301185091,0.4722995301185091,0.4722995301185091,0.4722995301185091,0.0,0.0,0.0,0.0,-23.436985119011315,3.088213387659165,3.0239313520213402,0.0,12.0,-12.0,0.45845692431238216,0.48290808495133297,0.0,0.0,43.99066845603966,0.0,0.0,0.0,-83.02866759885144,40.95332803861159,55.00012664079822,51.38892365918699,-44.99987335920178,0.0006266411087738621,0.0,-0.6059011756773768,-0.49870979254762554,-0.10719138312975124,16.279313384080904,14.779011264427051,1.5003021196538526,0.47315928133303486,0.40691935982872796,0.40609368213870844,-1.9373953816734457
2015-01-15,0.4703795909881592,0.4799791651360032,0.47013959019086804,0.4770992986134475,188932000,0.4703795909881592,-527214334.8612356,-571648000,-0.25151339723783384,-450663.16463996074,2.4371935748775572e-05,-6.281938204248429e-06,-2118795.055471895,0.472230747319053,46.668950138202334,1001.6051917128314,0.4721555382013321,0.48620212041488675,0.45810895598777746,5.949980918179991,0.43678365362574917,0.0,0.0,0.4731394986525327,0.4854509711518398,0.4608280261532256,5.204161789226772,0.38791317754521804,0.0,0.0,0.4579001478719731,0.48669891236504514,0.4722995301185091,6.099423211846763,0.43333258686108556,0.012815443502101075,0.0,-0.00303621420528416,-0.0025167314474403638,-0.0005194827578437963,0.4721555382013321,0.4721555382013321,0.47415589650492385,0.477192110710208,0.038388761702849744,0.042711833325305225,-0.004323071622455481,-0.07449156539680697,10.278941269926976,2.662081566159221,-849.3555138044794,-849.214966371291,-0.14054743318843066,0.47181955888219984,0.4722995301185091,0.4720595445003545,0.4722995301185091,0.0,0.0,0.0,0.0,5.824701286556134,3.088213387659165,3.0239313520213402,0.0,12.0,-12.0,0.45900256522398303,0.48290808495133297,0.0,0.0,40.0778355293658,0.0,0.0,0.0,-80.99104301454105,41.41330982010357,43.33325868610856,48.88893966016807,-56.66674131389144,0.0010919638247633978,0.0,-0.6362666391875892,-0.5262211618756183,-0.1100454773119709,14.866264446023234,14.796461900746289,0.06980254527694463,0.471941164641744,-0.7092323506579623,-0.7117593586212778,-2.6328870975244167
